stolica woj..;województwo;miasta_n_p_pow;XA02;XA03;XA04;XA05;XA06;XA17;XA19
0;Warmińsko-Mazurskie;City;27497,00;467,00;9471,00;17559,00;12,90;174,50;20038,00
1;Warmińsko-Mazurskie;City;64677,00;474,00;13974,00;50229,00;5,80;767,30;29013,00
0;Warmińsko-Mazurskie;County;12872,00;4952,00;2444,00;5476,00;24,40;42,00;10566,00
0;Warmińsko-Mazurskie;County;8171,00;2835,00;1141,00;4195,00;27,20;65,90;7517,00
0;Warmińsko-Mazurskie;County;15472,00;3936,00;5462,00;6074,00;20,80;315,30;13148,00
0;Zachodniopomorskie;County;9158,00;1391,00;3400,00;4367,00;25,50;103,50;8906,00
0;Zachodniopomorskie;County;15248,00;2658,00;4677,00;7913,00;22,20;236,20;13993,00
0;Zachodniopomorskie;County;13609,00;3078,00;3485,00;7046,00;15,80;244,40;15313,00
0;Zachodniopomorskie;County;17309,00;1887,00;3866,00;11556,00;8,90;225,40;13543,00
0;Zachodniopomorskie;County;8957,00;2420,00;2669,00;3868,00;21,70;46,70;8465,00
0;Zachodniopomorskie;County;16207,00;1524,00;8341,00;6342,00;9,10;343,00;15452,00
0;Zachodniopomorskie;County;8007,00;1581,00;1532,00;4894,00;19,60;106,90;7746,00
0;Zachodniopomorskie;County;10963,00;3506,00;2737,00;4720,00;21,10;121,10;12189,00
0;Zachodniopomorskie;City;7426,00;2211,00;2029,00;3186,00;20,40;23,50;7269,00
1;Zachodniopomorskie;City;10381,00;2472,00;2062,00;5847,00;21,30;87,40;11246,00
0;Dolnośląskie;County;7075,00;3658,00;1118,00;2299,00;22,20;31,00;6861,00
0;Pomorskie;County;35036,00;4588,00;10649,00;19799,00;11,90;359,70;47051,00
0;Pomorskie;County;12078,00;79,00;1796,00;10203,00;3,40;88,00;4510,00
1;Pomorskie;City;25136,00;5626,00;8646,00;10864,00;14,40;285,40;20430,00
